,INGRD_NM
454,스위트콘
455,흑임자
456,두릅
457,취나물
458,쌀밥
459,갈은깨
460,닭안심
461,스파게티
462,볶은참깨
463,목살
464,훈제오리
465,복숭아
466,스트링치즈
467,시나몬파우더
468,옥수수캔
469,튀김기름
470,피클링스파이스
471,고추냉이
472,소고기다시다
473,동태
474,시럽
475,허니머스타드소스
476,박력쌀가루
477,간생강
478,홍파프리카
479,아삭이고추
480,라면스프
481,조미료
482,갈비
483,세발나물
484,연두부
485,무말랭이
486,고기
487,알배기배추
488,갈색설탕
489,수박
490,대하
491,소갈비
492,우리밀중력분
493,미원
494,쥬키니호박
495,마늘종
496,부순깨
497,닭육수
498,허브가루
499,알감자
500,다시마우린물
501,우동사리
502,죽순
503,고구마줄기
504,오징어채
505,더덕
506,베이비채소
507,베트남고추
508,화이트초콜렛
509,배추잎
510,빵
511,사과즙
512,피칸
513,닭봉
514,콘옥수수
515,커피가루
516,참치통조림
517,꽁치통조림
518,녹말물
519,돌나물
520,조림간장
521,돼지목살
522,영양부추
523,건크랜베리
524,소금후추
525,피쉬소스
526,생새우
527,흰설탕
528,토마토페이스트
529,오트밀
530,면수
531,얼갈이
532,통조림햄
533,강황가루
534,닭날개
535,마른미역
536,식물성오일
537,샐러드채소
538,꼬마파프리카
539,잡채
540,구운김
541,미니새송이버섯
542,치킨
543,육수용멸치
544,깐마늘
545,미니파프리카
546,씨겨자
547,적채
548,배춧잎
549,현미밥
550,고형카레
551,마른새우
552,곤약
553,미역줄기
554,계피
555,뉴슈가
556,쌈채소
557,매실진액
558,통삼겹살
559,공기밥
560,녹말
561,검은콩
562,간양파
563,생굴
564,대파뿌리
565,판젤라틴
566,양념장
567,밀가루박력분
568,소고기등심
569,명란
570,새싹
571,새송이
572,쌈무
573,아몬드파우더
574,소불고기용소고기
575,코코넛밀크
576,김밥용햄
577,참외
578,어간장
579,문어
580,원당
581,탈지분유
582,종이호일
583,마카로니
584,수삼
585,묵은김치
586,미지근한물
587,닭볶음탕용닭
588,애느타리버섯
589,분유
590,바닐라빈
591,얼갈이배추
592,황기
593,훈제연어
594,만능간장
595,매실원액
596,오레가노
597,고추씨
598,쌀국수
599,피자소스
600,토마토스파게티소스
601,우거지
602,해바라기유
603,단호박가루
604,아욱
605,치즈가루
606,유기농설탕
607,삼치
608,국멸치
609,말린표고버섯
610,무화과
611,짜장가루
612,멸치다시다
613,찐고구마
614,캐슈넛
615,돼지등갈비
616,양파청
617,어린잎
618,단감
